downloadKey	numberRecords	totalRecords	numberDatasets
0002791-170826194755519	1	1091	53
0019048-200613084148143	7	4269	29
0019054-200613084148143	3	28004	38
0004715-191105090559680	1	1550	49
0028757-191105090559680	9	4353	280
0041177-191105090559680	1	845	29
0043909-181108115102211	4	893	45
0099226-160910150852091	9	480193	878
0000089-170627171947987	5	368573	791
0099217-160910150852091	1	274275	590
0002591-190621201848488	576	20545	96
0004638-170826194755519	1181582	330024958	1269
0005315-170826194755519	88	88653	470
0030607-191105090559680	44	727121	1391
0024275-180508205500799	10	58954	356
0024347-180508205500799	7	2073	82
0019633-190415153152247	27	5183	108
0024307-180508205500799	9	232860	428
0024243-180508205500799	2	15313	227
0025428-180508205500799	4	207357	473
0026927-180508205500799	6	4772	160
0002545-171113114016250	526	305405	307
0012986-200127171203522	12	44	4
0020394-200221144449610	19	11528	155
0000613-150216165555722	50	146405	66
0081673-200221144449610	4766787	70962351	41
0000369-180730143533302	39	1990001	315
0075888-160910150852091	9	652	24
0075887-160910150852091	18	3030	57
0002567-171219132708484	2	8189	30
0008843-181108115102211	9	1078	16
0031719-191105090559680	651632	145271933	1782
0061093-200221144449610	2	1519	51
0015295-171219132708484	195	856857	732
0016505-190415153152247	3	1014	11
0034925-191105090559680	39	218	42
0002994-200613084148143	2	556	54
0003318-181003121212138	3	1686	125
0000343-160822134323880	1	77217	20
0011352-190918142434337	21	27002	81
0010933-190918142434337	18	155502	587
0011005-190918142434337	17	33234	69
0010930-190918142434337	3	8419	79
0011102-190918142434337	5	9612	71
0012923-190918142434337	3	59546	310
0011737-190918142434337	4	1206	52
0040845-181108115102211	4	1419	81
0012920-190918142434337	2	46789	250
0011449-190918142434337	20	6064	83
0040263-181108115102211	24	809	13
0040269-181108115102211	6	181	12
0039175-181108115102211	113	618	7
0011458-190918142434337	6	2625	77
0039116-181108115102211	9	4116	102
0011346-190918142434337	19	27044	96
0011349-190918142434337	2	11630	44
0011364-190918142434337	10	9825	98
0011340-190918142434337	13	10910	119
0011305-190918142434337	13	1071	46
