downloadKey	numberRecords	totalRecords	numberDatasets
0036148-180508205500799	1	1894	102
0034423-180508205500799	3	12796	318
0049339-180508205500799	16	3684	121
0034603-180508205500799	1	20621	434
0049385-180508205500799	6	9119	248
0008883-180730143533302	1	3838	170
0034419-180508205500799	6	2203	131
0006335-180730143533302	7	17853	480
0034410-180508205500799	4	2885	143
0034422-180508205500799	20	20588	412
0048541-180508205500799	2	2618	140
0006333-180730143533302	4	6750	294
0049370-180508205500799	85	4183	211
0033884-180508205500799	2	2029	114
0048567-180508205500799	6	1395	142
0005828-180730143533302	4	4647	205
0008878-180730143533302	2	89785	460
0033900-180508205500799	5	5153	157
0048550-180508205500799	3	5882	155
0035948-180508205500799	2	26216	357
0034602-180508205500799	1	4726	216
0035945-180508205500799	2	65902	493
0049338-180508205500799	16	12807	325
0009149-180730143533302	12	8206	282
0035912-180508205500799	4	41361	479
0034620-180508205500799	3	2681	134
0008882-180730143533302	10	5191	201
0008885-180730143533302	16	8510	266
0036144-180508205500799	8	9081	261
0021477-181108115102211	426	68560	344
0001827-171002173027117	17	3832	155
0002223-171020152545675	513	109824	143
0024238-190621201848488	3	171	18
0013934-180131172636756	7	8161	41
0023751-181108115102211	161825	10226211	2227
0082000-160910150852091	20	193	5
0011390-190415153152247	3	1094	8
0011382-190415153152247	34	100	6
0011386-190415153152247	562	1565	8
0011393-190415153152247	6	25	8
0011391-190415153152247	4	514	64
0011374-190415153152247	8	25	6
0011376-190415153152247	1	16	4
0011379-190415153152247	5	96	13
0003700-170826194755519	4	602	32
0030713-190918142434337	44712	34744168	341
0032154-190918142434337	205	246416	725
0024616-190415153152247	2	2343	63
0002815-190621201848488	1	49	13
0042054-191105090559680	30	150436	431
0000406-180920211646547	1	85	24
0025524-180131172636756	9	596	61
0010802-170826194755519	1444982	73159824	4461
0011760-171219132708484	192973	32536833	2183
0038049-160910150852091	4	3638	96
0008256-170714134226665	2	89	11
0011928-191105090559680	24	796	40
0003822-180508205500799	1280111	215046618	3674
0013205-180824113759888	1	4	4
0000487-180920211646547	17	7016	29
0010745-190415153152247	67	11603	33
0000488-180920211646547	12	180	21
0033059-180508205500799	271	312237	384
0018764-190415153152247	5	138	14
0029124-180131172636756	2	50678	378
0010802-170826194755519	1444982	73159824	4461
0010269-181003121212138	5	3897	65
0000615-190307172214381	24	719560	375
0000535-190307172214381	6	147387	113
0000532-190307172214381	2	45870	224
0000504-190307172214381	6	123992	75
0022754-190621201848488	16	1983991	845
0000134-190306134739812	10	267847	338
0000059-190307172214381	6	358317	246
0000622-190307172214381	35	66174	76
0000625-190307172214381	5	55291	209
0000591-190307172214381	4	25544	61
0000151-190306134739812	163	81832	147
0000594-190307172214381	9	1631	50
0000069-190307172214381	9	302534	439
0000007-190307172214381	12	2800087	1069
0000542-190307172214381	14	524974	468
0000601-190307172214381	1	77606	95
0000638-190307172214381	25	7673632	993
0000635-190307172214381	2	639145	119
0000046-190307153128544	3	359030	184
0000574-190307172214381	5	2365	51
0000148-190306134739812	8	1480651	615
0000589-190307172214381	4	1487	37
0000527-190307172214381	10	993930	704
0000654-190307172214381	26	2303401	136
0000657-190307172214381	6	432358	95
0000651-190307172214381	12	1315746	938
0000583-190307172214381	3	38098	95
0000054-190307172214381	9	55569	128
0000512-190307172214381	2	704443	189
0000506-190307172214381	3	145131	449
0022745-190621201848488	31	1260190	154
0000633-190307172214381	26	1266898	416
0022757-190621201848488	22	4237474	965
0000609-190307172214381	6	819253	405
0000012-190307172214381	29	5094932	146
0000544-190307172214381	15	2385422	875
0000559-190307172214381	6	670962	218
0000618-190307172214381	15	505930	571
0000553-190307172214381	42	6411083	1001
0000037-190307172214381	8	142120	283
0000551-190307172214381	12	3550050	169
0000516-190307172214381	1	194310	119
0000547-190307172214381	15	554389	270
0000631-190307172214381	16	1088731	770
0000600-190307172214381	1	13547	41
0000588-190307172214381	3	953	28
0000009-190307172214381	8	962659	177
0000557-190307172214381	27	1388448	614
0022769-190621201848488	10	360091	412
0022766-190621201848488	5	234244	46
0022763-190621201848488	8	2466823	973
0000595-190307172214381	3	48825	216
0000561-190307172214381	14	3494189	972
0000613-190307172214381	10	369529	94
0000044-190307172214381	20	1190709	732
0000641-190307172214381	5	2124397	129
0000136-190306134739812	8	831135	392
0000533-190307172214381	5	156455	185
0021137-190621201848488	6	92010	319
0000502-190307172214381	5	185972	101
0000607-190307172214381	19	168518	144
0000064-190307172214381	4	2145898	83
0000626-190307172214381	17	1985087	650
0000623-190307172214381	756	1308385	735
0000602-190307172214381	21	1169610	146
0022749-190621201848488	10	2760365	991
0000549-190307172214381	11	467574	537
0000540-190307172214381	24	197263	145
0000628-190307172214381	18	879603	614
0000522-190307172214381	6	143425	281
0000537-190307172214381	8	6151372	172
0000044-190307153128544	3	310990	571
0000605-190307172214381	3	126391	101
0000040-190307172214381	19	4612957	1090
0000005-190307172214381	8	147720	106
0000575-190307172214381	22	2064395	177
0000572-190307172214381	3	41031	100
0000643-190307172214381	25	1546588	988
0000596-190307172214381	11	513799	576
0000581-190307172214381	59	3822555	146
0000150-190306134739812	8	1219719	426
0000525-190307172214381	16	740499	611
0000055-190307172214381	4	388498	230
0000519-190307172214381	2	94636	84
0000584-190307172214381	9	446307	495
0022776-190621201848488	11	66848	119
0000147-190306134739812	1	40313	106
0001373-190621201848488	282093	7766219	1026
0012833-190320150433242	269118	9508391	1977
0019164-190621201848488	54	717574	512
0001255-190415153152247	1294	78532	343
0036408-181108115102211	120	81820	137
0001964-190415153152247	4	1358	98
0020172-190415153152247	44716	4642239	1104
0000418-180131172636756	6	50121	105
0089481-160910150852091	977	1122556	64
0089572-160910150852091	187	234124	33
0089741-160910150852091	3831	920015	84
0089773-160910150852091	1549	1026414	55
0089740-160910150852091	54	792127	50
0089563-160910150852091	2243	303318	53
0089788-160910150852091	3	430860	43
0089772-160910150852091	598	1258447	53
0089775-160910150852091	47	1468104	151
0050551-160910150852091	1	171	11
0005425-190320150433242	2522	7941	43
0094563-160910150852091	53	104901	389
0064983-160910150852091	10	394821	88
0040640-160910150852091	294	1725	65
0021416-190415153152247	18	2191	31
0021460-190415153152247	1	69	6
0000294-150721130643939	4661554	566184545	13166
0008186-181108115102211	24	83517	466
0002774-150615163101818	1447944	292258842	2816
0015479-171219132708484	2	32720	157
0015484-171219132708484	87	7326574	839
0015303-171219132708484	636	521415	226
0015440-171219132708484	302	29135651	1065
0015528-171219132708484	31	424759	313
0015556-171219132708484	260	30478134	873
0015539-171219132708484	102	1255170	311
0015305-171219132708484	667	1895221	423
0029055-180131172636756	20	30001	208
0023871-151016162008034	85	1735	75
0023774-151016162008034	2	19705	102
0023686-151016162008034	1	9463	49
0023952-151016162008034	12	7757	122
0023420-151016162008034	2	2292	105
0023713-151016162008034	2	4479	106
0023855-151016162008034	1	3004	104
0030482-181108115102211	265	132570	539
0011760-171219132708484	192973	32536833	2183
0021437-190621201848488	1435	1827893	1253
0021729-190621201848488	7858	1209026	922
0021394-190621201848488	2818	59733	261
0000958-171002173027117	4	5860	32
0003627-171002173027117	12	2476	36
0003624-171002173027117	2	766	30
0003644-171002173027117	12	397	26
0003655-171002173027117	30	1900	23
0001127-171002173027117	49	4341	49
0003621-171002173027117	8	345	22
0005779-171002173027117	6	762	28
0003638-171002173027117	6	1493	26
0001404-171002173027117	1	186	21
0000972-171002173027117	237	2019	34
0001363-171002173027117	4	636	41
0000939-171002173027117	14	18354	69
0001129-171002173027117	18	6908	65
0001362-171002173027117	5	2551	74
0001399-171002173027117	13	1018	44
0001130-171002173027117	97	15029	54
0003618-171002173027117	11	2823	33
0001390-171002173027117	4	5638	52
0005777-171002173027117	14	899	23
0001383-171002173027117	1	248	23
0001389-171002173027117	7	6159	48
0003642-171002173027117	5	693	21
0001406-171002173027117	6	4729	70
0000997-171002173027117	7	1009	41
0003645-171002173027117	5	152	14
0001409-171002173027117	35	4565	55
0003630-171002173027117	2	470	28
0003636-171002173027117	8	490	13
0003660-171002173027117	14	3009	31
0000988-171002173027117	10	6007	61
0003651-171002173027117	6	1100	26
0003654-171002173027117	9	3531	29
0003657-171002173027117	3	142	10
0003665-171002173027117	5	125	13
0001381-171002173027117	2	1233	29
0001384-171002173027117	9	2457	39
0001387-171002173027117	11	739	34
0001408-171002173027117	5	6390	47
0001359-171002173027117	10	1184	32
0001405-171002173027117	5	2838	66
0003662-171002173027117	3	335	17
0003668-171002173027117	237	2019	34
0001402-171002173027117	11	18987	50
0003600-171002173027117	9	732	24
0003626-171002173027117	5	451	31
0001392-171002173027117	2	463	37
0001410-171002173027117	5	1020	45
0001395-171002173027117	4	4558	59
0005907-171002173027117	6	1062	36
0001378-171002173027117	5	31915	81
0001372-171002173027117	7	4014	46
0003614-171002173027117	4	728	23
0003649-171002173027117	33	6870	47
0001358-171002173027117	10	2132	51
0000981-171002173027117	88	621	24
0003591-171002173027117	5	2375	39
0003628-171002173027117	2	3199	41
0001411-171002173027117	4	1011	46
0003643-171002173027117	4	75	8
0001373-171002173027117	6	471	34
0005911-171002173027117	6	2184	42
0001388-171002173027117	16	3248	50
0003607-171002173027117	3	1458	27
0001385-171002173027117	58	6637	51
0001364-171002173027117	1	551	43
0001361-171002173027117	46242	57335	58
0001379-171002173027117	2	43	10
0003616-171002173027117	2	111	14
0003619-171002173027117	1	212	10
0005905-171002173027117	3	79	7
0001397-171002173027117	3	748	38
0021768-180131172636756	39225	39397	28
0003511-191105090559680	4371	369886	245
0036459-181108115102211	10	2575	71
0001980-180730143533302	1	9063	173
0037188-181108115102211	163	34847	35
0002132-170826194755519	4	3072	81
0001245-170822121629195	2	1854	126
0001010-170925132151566	17	15053	138
0001006-170925132151566	115	37731	183
0009626-170826194755519	1	2122	68
0010159-170826194755519	6	16123	139
0009625-170826194755519	1	2122	68
0000157-170822121629195	10	19952	243
0000222-170822121629195	5	26518	304
0001011-170925132151566	52	64538	154
0010159-170826194755519	6	16123	139
0005774-180508205500799	73	110640	56
0004376-171124123535762	2	6351	239
0035460-181108115102211	94	20753	361
0009150-160526112335914	3811	413499	688
0002324-190320150433242	25	26031	414
0021459-180131172636756	27411	55377	162
0095337-160910150852091	1386	4251424	1267
0037821-181108115102211	44	446	14
0037801-181108115102211	6181	6247	7
0046665-181108115102211	4	14	5
0037807-181108115102211	4	16	2
0010020-181003121212138	163	226804	289
0009165-181003121212138	536	1221107	1019
0037757-181108115102211	2	51	3
0009359-190320150433242	4	97	8
0014269-181108115102211	17	419	3
0014266-181108115102211	1	455	3
0006332-180412121330197	45	209	9
0009659-181003121212138	12	358598	914
0021111-181108115102211	26	2720	60
0033044-180508205500799	2	830	46
0021386-181108115102211	1	2659	57
0021134-181108115102211	8	1388	47
0033558-180508205500799	1	96	17
0021799-181108115102211	1	5623	50
0021136-181108115102211	40	1456	49
0021354-181108115102211	3	786	61
0011812-170714134226665	24	4611	161
0004324-180412121330197	1418	249904	396
0000785-190918142434337	7	717	8
0053780-160910150852091	988	71392	250
0005966-171124123535762	1280513	247231174	3562
0003008-190813142620410	13	58	12
0003009-190813142620410	2	104	16
0002996-190813142620410	3	591	30
0003002-190813142620410	15	844	39
0002994-190813142620410	3	124	15
0003001-190813142620410	2	506	28
0003004-190813142620410	21	1277	36
0003007-190813142620410	7	106	16
0002606-181003121212138	12	151654	95
0001109-150922153815467	95777	40806939	1135
0004208-190813142620410	1	40	10
0012160-180131172636756	57	136869	93
0012166-180131172636756	12	38476	68
0012130-180131172636756	25596	711104	113
0036669-181108115102211	42	229	5
0011964-180824113759888	274	138930	436
0010481-190813142620410	27	200	19
0001092-190307172214381	14	10560	156
0005654-190307172214381	59	153168	502
0006417-160526112335914	7	37007	71
0080170-160910150852091	4	1054624	84
0026194-181108115102211	21	10651	161
0026195-181108115102211	9	6322	107
0013815-190320150433242	2	1786	87
0042265-181108115102211	6	4746	207
0042264-181108115102211	25	13037	314
0005530-170826194755519	111	252216	281
0024730-181108115102211	10	13636	28
0024704-181108115102211	3	723	18
0033340-181108115102211	2	1815	26
0033867-181108115102211	1	797	19
0031187-181108115102211	24	3223	30
0031195-181108115102211	1	2085	26
0033353-181108115102211	119	1132	18
0004202-180508205500799	1280111	214964486	3674
0032152-181108115102211	2	12837	97
0032154-181108115102211	14	153039	150
0032164-181108115102211	86	3094	56
0032153-181108115102211	1	2825	15
0032162-181108115102211	1	5391	36
0001352-180131172636756	184	140725	632
0025450-151016162008034	15	3274	23
0011490-180824113759888	3	53779	170
0027335-180131172636756	2	32252	256
0027341-180131172636756	2	6459	165
0027343-180131172636756	2366	1729350	1217
0027339-180131172636756	1252424	118150450	2523
0027342-180131172636756	288	30187	214
0011498-180824113759888	301	4636929	1586
0011495-180824113759888	31	536593	900
0011492-180824113759888	17184	40189850	2569
0041763-181108115102211	287	665784	100
0040119-181108115102211	6695	5552450	1774
0020395-181003121212138	11	6698	83
0030209-181108115102211	27310	7731713	540
0004489-180824113759888	2	3413	63
0005813-180730143533302	2	3202	65
0015734-180131172636756	281	28211	81
0005584-160118175350007	1	455	24
0065506-160910150852091	2	91	17
0064884-160910150852091	39	13658	62
0072229-160910150852091	14	30442	30
0064883-160910150852091	7	5394	37
0064888-160910150852091	3	16463	89
0065505-160910150852091	5	3583	29
0065504-160910150852091	10	3018	22
0022536-181108115102211	1	2	2
0022515-181108115102211	14	1153	21
0007404-170714134226665	1658	824632	270
0014243-180131172636756	3	362	16
0069231-160910150852091	13	8052	36
0071127-160910150852091	3	6283	33
0069223-160910150852091	3	7756	45
0069235-160910150852091	9	13955	78
0069229-160910150852091	3	3898	26
0069208-160910150852091	2	378	17
0069228-160910150852091	3	3106	62
0071124-160910150852091	3	6283	33
0069236-160910150852091	3	6378	45
0069230-160910150852091	6	3238	21
0001567-171109162308116	9	515	29
0001373-180508205500799	8	54103	329
0056384-160910150852091	601	483323	415
0001397-180508205500799	1084	188993	511
0001353-180508205500799	552002	903208	702
0002090-150528172251762	8	1903	63
0002101-150528172251762	3	1953	143
0000005-150615163101818	10	690	74
0002093-150528172251762	2	1230	89
0002138-150528172251762	6	2766	140
0000383-150615163101818	25	2560	113
0004728-150528172251762	12	414	46
0001422-150528172251762	6	280	33
0000469-150805223722583	6	805	59
0002099-150528172251762	1	853	79
0000205-150523225239109	8	356	33
0002096-150528172251762	6	507	33
0000971-150615163101818	13	752	74
0002738-150512124619364	3	1415	73
0002106-150528172251762	6	755	41
0001264-150528172251762	10	1644	115
0002091-150528172251762	8	542	74
0004355-150410134957023	9	356	43
0002094-150528172251762	8	319	29
0007396-150615163101818	4	492	65
0000963-150615163101818	1	197	20
0000972-150615163101818	85	1552	95
0000490-150422101436696	17	990	86
0005080-150528172251762	6	535	85
0005865-150615163101818	85	1617	97
0004357-150410134957023	3	2911	29
0000393-150523225239109	12	1312	95
0000087-150527152214153	11	1728	98
0000003-150528172251762	3	81	16
0002139-150528172251762	6	301	66
0000172-150805223722583	7	1845	89
0001969-150410134957023	9	1069	75
0000739-150512124619364	3	447	20
0019987-181108115102211	198	19250	178
0008397-171219132708484	358	185526	573
0020677-180131172636756	196098	539612484	1854
0007087-190320150433242	2	80	14
0025648-180508205500799	1385	4228621	1038
0012342-180412121330197	1182221	307579342	1368
0024886-190415153152247	282	556232	424
0015862-180508205500799	3	15579	273
0015953-180508205500799	1	109057	557
0015908-180508205500799	273	343363	865
0028634-181108115102211	299819	41077368	1804
0001606-190621201848488	6	5539	84
0002877-180131172636756	5	19	7
0014015-180824113759888	2419	218543	226
0012538-180824113759888	1	308	42
0021747-160910150852091	379	2098707	851
0024967-181108115102211	229	510982	885
0022033-160910150852091	332	1102007	820
0022007-160910150852091	115	2212203	922
0021918-160910150852091	261	2784355	957
0035963-181108115102211	6	740	32
0046560-180508205500799	70	9476	67
0024102-151016162008034	17	1646	15
0004541-160311141623029	21	618	13
0052418-160910150852091	615	480323	624
0052438-160910150852091	8	19353	249
0052425-160910150852091	7	820	45
0052436-160910150852091	21	145971	498
0052458-160910150852091	48	2319	106
0052420-160910150852091	54	287403	594
0052426-160910150852091	162	670925	856
0017340-181108115102211	5	21289	35
0017339-181108115102211	344	28777	44
0007136-171124123535762	3	778682	100
0020745-180131172636756	1	422	16
0000803-190320150433242	2	1025	69
0000546-190307172214381	35	62206	383
0004331-150615163101818	5	43609	474
0006788-190415153152247	1	1	1
0011821-180824113759888	3	185	13
0015479-171219132708484	2	32720	157
0015484-171219132708484	87	7326574	839
0015303-171219132708484	636	521415	226
0015440-171219132708484	302	29135651	1065
0015528-171219132708484	31	424759	313
0015556-171219132708484	260	30478134	873
0015539-171219132708484	102	1255170	311
0015305-171219132708484	667	1895221	423
0095375-160910150852091	31	10061	91
0004338-150316153013904	5487	2569612	115
0004337-150316153013904	141520	7294664	1029
0004447-150316153013904	26373	3476950	514
0004403-150316153013904	26373	3476950	514
0007333-141123120432318	3	594	22
0086854-160910150852091	8	44207	337
0010896-160311141623029	13	36471	181
0032051-180131172636756	6	20559	154
0004648-160526112335914	60	1826	54
0047526-180508205500799	200	15593	40
0047503-180508205500799	494	781345	62
0047556-180508205500799	3	976	23
0047519-180508205500799	105	16925	56
0047558-180508205500799	572	43169	59
0003484-190307172214381	5	347	14
0003466-190307172214381	69	129	5
0069331-160910150852091	2	3402	68
0069327-160910150852091	2	4528	27
0002279-180131172636756	7	21944	28
0004572-190307172214381	903	264746	91
0014707-180131172636756	2	432214	740
0016809-180131172636756	2	19717	178
0014716-180131172636756	1	320324	640
0014728-180131172636756	2	266563	290
0009821-180131172636756	2	34566	137
0014700-180131172636756	2	395585	623
0009823-180131172636756	2	282588	626
0014724-180131172636756	44	421029	340
0014712-180131172636756	2	93659	540
0009816-180131172636756	4	291900	522
0015258-160910150852091	87	390094	91
0013908-180824113759888	100	582720	164
0006087-170627171947987	1	2748	31
0045877-180508205500799	105	567	7
0055594-160910150852091	8	67205	105
0049022-181108115102211	2	5227	136
0022763-180131172636756	1	8771	257
0022776-180131172636756	21	26141	265
0022789-180131172636756	8	6508	233
0039182-160910150852091	1	145140	519
0013725-171219132708484	17	68109	523
0013197-171219132708484	54	25961	394
0013614-171219132708484	33	115763	514
0012907-171219132708484	111	47593	595
0013326-171219132708484	23	18777	282
0012889-171219132708484	145	127050	570
0012883-171219132708484	67	34949	372
0013218-171219132708484	34	33640	392
0013902-171219132708484	90	178695	764
0013919-171219132708484	123	44942	436
0013243-171219132708484	32	34226	258
0013690-171219132708484	64	278923	830
0013936-171219132708484	10	29042	437
0013887-171219132708484	36	102236	549
0013773-171219132708484	45	108029	547
0013027-171219132708484	19	19355	283
0012807-171219132708484	63	85780	415
0012924-171219132708484	6	11594	197
0013881-171219132708484	51	480170	642
0012989-171219132708484	49	17369	270
0013021-171219132708484	35	14006	306
0012986-171219132708484	216	32974	444
0013714-171219132708484	70	121249	610
0012810-171219132708484	22	36921	372
0013471-171219132708484	40	24752	486
0013155-171219132708484	173	410735	928
0012764-171219132708484	44	496865	1025
0012752-171219132708484	52	65673	701
0012861-171219132708484	56	19817	379
0013252-171219132708484	46	33619	420
0013796-171219132708484	45	15853	266
0013876-171219132708484	13	26938	238
0013323-171219132708484	61	29763	396
0012944-171219132708484	29	429957	1012
0013545-171219132708484	46	26535	374
0013867-171219132708484	25	20772	238
0013873-171219132708484	51	37114	506
0012802-171219132708484	18	99961	353
0013737-171219132708484	207	837927	1010
0013462-171219132708484	308	23749	290
0013474-171219132708484	38	19248	308
0013722-171219132708484	40	31675	239
0013332-171219132708484	4	8261	216
0013468-171219132708484	22	20299	318
0013002-171219132708484	73	49791	352
0012919-171219132708484	65	15506	317
0013938-171219132708484	56	16179	322
0013630-171219132708484	37	42835	356
0012759-171219132708484	61	61841	539
0013008-171219132708484	39	20534	347
0013210-171219132708484	35	35197	320
0013872-171219132708484	64	34120	386
0012708-171219132708484	46	84647	382
0013241-171219132708484	6	16112	251
0013899-171219132708484	112	14484	228
0012995-171219132708484	53	31083	488
0012711-171219132708484	166	631934	1110
0013247-171219132708484	29	57486	343
0013550-171219132708484	1109	291271	817
0013612-171219132708484	44	17701	298
0013798-171219132708484	57	118323	722
0013603-171219132708484	370	490605	910
0012798-171219132708484	53	53615	506
0013059-171219132708484	38	324494	259
0013771-171219132708484	145	52148	401
0013934-171219132708484	21	18213	335
0013207-171219132708484	53	54381	363
0012922-171219132708484	20	28158	382
0013532-171219132708484	188	65216	208
0013922-171219132708484	67	224130	743
0013910-171219132708484	53	81717	667
0013452-171219132708484	39	58062	351
0012851-171219132708484	661	99690	551
0012857-171219132708484	73	68233	404
0013520-171219132708484	6	15593	311
0013913-171219132708484	31	148424	894
0012762-171219132708484	22	69719	340
0012913-171219132708484	49	53579	491
0013901-171219132708484	189	33499	304
0012815-171219132708484	33	574093	983
0013449-171219132708484	14	32718	257
0013032-171219132708484	22	26583	241
0013443-171219132708484	20	52970	400
0013035-171219132708484	171	20405	351
0013281-171219132708484	47	115738	386
0012942-171219132708484	72	36406	420
0013527-171219132708484	96	23184	362
0012911-171219132708484	58	45762	589
0013797-171219132708484	16	29821	332
0012862-171219132708484	70	203663	847
0012848-171219132708484	14	54869	390
0013305-171219132708484	12	32048	404
0012928-171219132708484	162	27831	328
0013014-171219132708484	16	24558	351
0013871-171219132708484	82	24932	359
0013478-171219132708484	32	58849	366
0013704-171219132708484	25489	556694	657
0013000-171219132708484	15	15364	291
0012925-171219132708484	89	25861	404
0013339-171219132708484	56	141926	731
0013909-171219132708484	39	36440	470
0013176-171219132708484	448	39067	365
0013222-171219132708484	53	201351	673
0013943-171219132708484	63	24211	342
0013912-171219132708484	35	19531	353
0013148-171219132708484	14	17550	282
0013547-171219132708484	35	34901	400
0013658-171219132708484	456	239488	799
0013544-171219132708484	35	10219	276
0013689-171219132708484	36	47926	366
0013025-171219132708484	36	62602	351
0013486-171219132708484	8	45273	216
0013900-171219132708484	24	18479	335
0013897-171219132708484	46	18395	405
0013193-171219132708484	27	468719	970
0013211-171219132708484	31	14161	304
0013483-171219132708484	28	34605	367
0013099-171219132708484	35	140093	652
0013489-171219132708484	47	82638	399
0013037-171219132708484	66	177182	305
0013495-171219132708484	66	121652	339
0013492-171219132708484	40	20333	313
0012956-171219132708484	287	501740	878
0013267-171219132708484	25	56690	484
0012917-171219132708484	7	15103	285
0013583-171219132708484	515	111451	517
0013849-171219132708484	200	612228	1101
0013217-171219132708484	49	20885	297
0012914-171219132708484	41	20051	346
0013214-171219132708484	74	59558	443
0012799-171219132708484	24	37326	295
0012790-171219132708484	42	35453	395
0013935-171219132708484	39	15724	301
0013270-171219132708484	68	127134	763
0013539-171219132708484	42	16858	368
0012840-171219132708484	55	31971	396
0013200-171219132708484	58	121312	455
0013515-171219132708484	25	20931	348
0012808-171219132708484	238	69915	352
0013459-171219132708484	1	31009	219
0013030-171219132708484	11	50085	368
0012794-171219132708484	91	26785	366
0013033-171219132708484	43	47687	431
0013206-171219132708484	288	26555	336
0013831-171219132708484	39	17979	308
0013865-171219132708484	35	30287	392
0012846-171219132708484	452	23024	414
0012843-171219132708484	32	27339	334
0012933-171219132708484	109	119200	326
0013834-171219132708484	151	685460	983
0013411-171219132708484	277910	340558	357
0013921-171219132708484	151	43077	500
0013018-171219132708484	86	19999	332
0013918-171219132708484	15	19967	302
0012745-171219132708484	46	16808	331
0013174-171219132708484	53	50080	477
0013254-171219132708484	41	378107	766
0012859-171219132708484	44	16786	316
0012585-171219132708484	18	101624	614
0013310-171219132708484	5	23714	298
0013094-171219132708484	39	27701	278
0013724-171219132708484	50	28982	432
0013727-171219132708484	4	126114	405
0013328-171219132708484	42	21274	325
0013939-171219132708484	5	30185	246
0013880-171219132708484	34	65870	384
0013632-171219132708484	585	123236	551
0013319-171219132708484	50	26227	293
0013316-171219132708484	19	14134	151
0012644-171219132708484	23	204719	390
0013221-171219132708484	47	31028	335
0013177-171219132708484	60	197526	690
0001472-180131172636756	15	237422	371
0008112-160311141623029	225	414487	62
0021901-160910150852091	1280581	113504266	2340
0053601-160910150852091	26940	1559382	653
0027329-180131172636756	82649	12289211	2144
0027335-180131172636756	2	32252	256
0027341-180131172636756	2	6459	165
0027333-180131172636756	1499	832364	360
0027327-180131172636756	2216	2323413	539
0027343-180131172636756	2366	1729350	1217
0027339-180131172636756	1252424	118150450	2523
0027331-180131172636756	2084	3152335	3842
0027342-180131172636756	288	30187	214
0005648-160118175350007	21	75	5
0005634-160118175350007	3170	3515	9
0005682-160118175350007	1	563	14
0007651-160118175350007	6	70	5
0005639-160118175350007	2235	2309	5
0005592-160118175350007	3	2069	24
0005638-160118175350007	929	961	2
0005624-160118175350007	1	194	8
0005649-160118175350007	2	167	4
0006736-160118175350007	2	348	10
0005647-160118175350007	1	38	3
0007674-160118175350007	1	579	15
0010457-170826194755519	11	1218758	448
0000300-171002173027117	3	104429	108
0002248-170925132151566	11	70031	101
0009560-170826194755519	3	4866	34
0010454-170826194755519	6	635108	115
0000265-171002173027117	2	23029	80
0000306-171002173027117	14	4593771	987
0000651-171219132708484	1	174100	146
0003253-171025204727650	158	3996211	933
0000277-171002173027117	3	106585	174
0002743-171025204727650	157	4602963	833
0002731-171025204727650	177	7183456	934
0002734-171025204727650	281	17717493	1030
0009575-170826194755519	1	26922	50
0000625-170925132151566	8	8779	66
0000622-170925132151566	4	764316	203
0000669-171219132708484	79	9753415	807
0000666-171219132708484	3	14994	95
0000599-170925132151566	2	215	51
0009601-170826194755519	23	683723	628
0002971-170925132151566	9	266010	538
0009604-170826194755519	3	9770	35
0003093-170925132151566	6	898766	576
0002983-170925132151566	4	299453	190
0009548-170826194755519	11	245861	378
0000655-170925132151566	4	12916	52
0000652-170925132151566	9	56982	122
0000701-171219132708484	5	11594	109
0002977-170925132151566	7	20557	112
0011143-170826194755519	8	343057	376
0002980-170925132151566	2	151	17
0011149-170826194755519	9	1141356	651
0002681-171025204727650	168	6326181	477
0009921-170826194755519	13	804537	344
0009924-170826194755519	30	22608	83
0000324-171002173027117	1	25340	58
0002224-170925132151566	5	34430	123
0002227-170925132151566	2	112194	409
0002307-170925132151566	9	130907	188
0000619-170925132151566	3	254680	169
0000616-170925132151566	2	2613	62
0000613-170925132151566	3	74717	143
0009963-170826194755519	7	6748	50
0005185-171002173027117	9	85864	145
0003287-170925132151566	3	236385	123
0002272-170925132151566	7	4734	68
0002710-171025204727650	21	1307072	211
0002278-170925132151566	5	526855	334
0002678-171025204727650	173	678442	141
0002696-171025204727650	58	1851320	758
0002230-170925132151566	2	112194	409
0000108-170925132151566	3	303749	106
0009930-170826194755519	16	1647887	457
0009957-170826194755519	932	19319	69
0000318-171002173027117	8	4002	56
0003307-170925132151566	5	470	33
0002319-170925132151566	42	109	10
0000312-171002173027117	12	5667	81
0002316-170925132151566	2	55462	143
0009898-170826194755519	1	10417	89
0002209-170925132151566	4	4726700	113
0000058-170925132151566	19	418414	206
0000076-170925132151566	4	260525	116
0000067-170925132151566	5	629	51
0009900-170826194755519	2	23919	96
0009909-170826194755519	3	6943	109
0000135-170925132151566	9	252523	299
0000079-170925132151566	18	10487	60
0000070-170925132151566	1	4867267	247
0011081-170826194755519	5	51830	218
0010316-171124123535762	1	128244	201
0003191-170925132151566	5	94106	385
0002932-170925132151566	8	159694	362
0000748-170925132151566	4	15480	117
0002006-170925132151566	1	404	45
0002099-170925132151566	1	932	44
0000751-170925132151566	7	932015	686
0002012-170925132151566	4	162358	198
0000754-170925132151566	3	3556	58
0010493-170826194755519	3	225	25
0000342-171002173027117	8	66388	155
0002003-170925132151566	4	621176	196
0010496-170826194755519	4	6073	82
0000690-171219132708484	141	1085988	170
0002296-170925132151566	5	727725	233
0002293-170925132151566	2	12330	89
0003107-170925132151566	1	547	24
0003104-170925132151566	1	6427	50
0002707-171025204727650	595	4743275	827
0002920-170925132151566	3	410161	123
